Kalimat;Kategori
Laporan tersebut harus dilengkapi RAPBS, fotokopi rekening, laporan buku kas, serta bukti-bukti pengeluaran yang sah;Deskripsi
Pembayaran tunjangan guru tetap diubah menjadi pembelian ATK;Deskripsi
Oleh karena itu, di Jawa Timur misalnya, laporan dalam bentuk SPJ harus dibuat setiap bulan;Deskripsi
Di Jawa Timur, NTB, dan Banten, satker provinsi menetapkan bahwa sekolah harus membuat laporan triwulanan;Deskripsi
Beberapa sekolah mengambil inisiatif meminta satker kabupaten/kota untuk mengadakan pelatihan pembuatan laporan;Deskripsi
Di daerah lain, satker kabupaten/kota menyatakan bahwa konsultasi dapat dilakukan kapan saja;Deskripsi
Kebijakan tentang waktu penyusunan laporan ini terkait dengan keterlambatan pengucuran dana di kedua provinsi tersebut;Deskripsi
Selain itu, satker kota setempat juga menyediakan waktu konsultasi bagi sekolah antara pukul 12.00-17.00;Deskripsi
Di Jawa Timur, Dinas Pendidikan Kota Pasuruan mengadakan pelatihan pembuatan SPJ yang dilaksanakan selama tiga hari;Deskripsi
Untuk melakukan konsultasi penyusunan laporan tersebut sekolah harus mengeluarkan biaya, paling tidak untuk transportasi;Deskripsi
Namun ada sekolah yang laporannya hanya dibuat oleh kepala sekolah tanpa melibatkan bendahara;Deskripsi
Di samping itu, sekolah juga mengeluhkan banyaknya waktu yang diperlukan untuk menyusun laporan tersebut;Deskripsi
Salah satu salafiyah di Banten, misalnya, memerlukan biaya transportasi antara Rp50.000-Rp100.000 setiap melakukan konsultasi;Deskripsi
Untuk itu, mereka seringkali kehilangan waktu istirahat karena harus kerja lembur atau terpaksa menggunakan waktu mengajar;Deskripsi
Komite sekolah yang seharusnya menjadi mitra sekolah pun umumnya tidak dilibatkan dalam pembuatan laporan,;Deskripsi
Hanya ada beberapa komite sekolah yang dapat mengakses laporan tersebut, namun jumlahnya sangat terbatas;Deskripsi
Mereka biasanya komite sekolah yang memang aktif berkunjung ke sekolah;Deskripsi
Bila ada guru yang dilibatkan, biasanya hanya guru yang bertugas menjadi bendahara BOS, sedangkan guru lainnya tidak dilibatkan;Deskripsi
Mereka cenderung percaya bahwa sekolah menggunakan dananya dengan benar;Deskripsi
Kepada orangtua siswa, umumnya pihak sekolah hanya menyampaikan informasi mengenai adanya Program BOS;Deskripsi
Masih jarang ditemui adanya sekolah yang melaporkan penggunaan dananya secara rinci kepada orangtua siswa;Deskripsi
Monev internal dilakukan oleh jajaran pelaksana program sendiri;Deskripsi
Orangtua siswa terkesan tidak peduli dengan urusan administrasi penggunaan dana;Deskripsi
Monitoring eksternal, dalam juklak program 2005, dianggap sebagai bagian dari pengawasan;Deskripsi
"dewan pendidikan, LSM, BMPS, maupun organisasi masyarakat/kependidikan lainnya; 3";Deskripsi
Tim SMERU hanya menemukan dua sekolah sampel yang menyampaikan laporan secara terbuka kepada orangtua siswa;Deskripsi
"perguruan tinggi, DPR, BIN atau tim independen khusus yang ditunjuk pemerintah; 2";Deskripsi
Monev internal ini bertugas melakukan pemantauan dan supervisi, pembinaan, dan penyelesaian masalah;Deskripsi
Belum semua daerah melaksanakan kegiatan monev internal secara khusus;Deskripsi
Unit-unit pengaduan masyarakat yang terdapat di sekolah/madrasah, kabupaten/kota, provinsi dan pusat;Deskripsi
Kualitas pelaksanaan monev internal masih dipertanyakan dan lebih terkesan dilaksanakan sebagai formalitas;Deskripsi
Monitoring dilakukan melalui UPTD dan melibatkan pengawas;Deskripsi
Di Kabupaten Tapanuli Utara, kuesioner disebarkan ke semua sekolah melalui UPTD Pendidikan;Deskripsi
Monev internal masih kurang memadai, sedangkan monev eksternal dinilai oleh banyak pihak masih kurang efektif;Deskripsi
Di Kota Pasuruan kegiatan monev agak lebih mendalam;Deskripsi
Meskipun di beberapa daerah kerja sama kegiatan monev antara staf dinas pendidikan dan Kandepag berjalan baik;Deskripsi
Karena berbagai faktor tersebut, secara umum kegiatan monev internal dianggap kurang memadai;Deskripsi
Cukup banyak lembaga yang secara langsung mendatangi sekolah-sekolah tanpa sepengetahuan satker, tidak jelas laporannya;Deskripsi
Hal ini melahirkan kecemburuan dan rumor tentang ketidaktransparanan jajaran Kandepag dalam pengelolaan dana monev;Deskripsi
Secara langsung BPKP melakukan audit dengan difasilitasi oleh satker provinsi, satker kabupaten/kota;Deskripsi
hasil pengawasannya juga tidak diberitahukan atau dilaporkan ke satker di tingkat manapun juga;Deskripsi
Isu ini umumnya bersumber dari masyarakat dan guru;Deskripsi
Hanya di Mapenda Kanwil Depag Provinsi Jawa Timur ada dokumen laporan pengaduan;Deskripsi
Secara umum, proses penyampaian dan penanganan pengaduan dapat dibedakan menjadi tiga kelompok, yaitu;Deskripsi
Di banyak sekolah juga tidak terlihat adanya kotak aduan;Deskripsi
Siapakah yang berwenang untuk melakukan investigasi bila pengaduan tersebut terkait dengan kinerja pelaksana program;Deskripsi
Namun berbagai fakta yang ditemukan di lapangan memperlihatkan kurang efisiennya sistem monitoring eksternal yang sudah berjalan;Deskripsi
Meski reaksinya cepat dan langsung, pengaduan dan proses penyelesaian semacam ini tidak didokumentasikan dengan baik;Deskripsi
Namun dalam kajian ini tidak ditemukan adanya catatan dan dokumentasi pengaduan yang pernah dikumpulkan sekolah-sekolah sampel;Deskripsi
Melalui siaran pers, keberadaan unit ini diumumkan ke masyarakat, lengkap dengan nomor telepon yang dapat diakses;Eksposisi
Lembaga yang mempunyai kewenangan yang cukup kuat adalah unsur-unsur pengawasan, seperti Bawasda, Irjen dan DPRD;Deskripsi
Lembaga yang berperanserta dalam monev eksternal tersebut terbilang paling aktif dan reaktif terhadap aduan yang diterima;Deskripsi
Kuat dugaan, minimnya respons instansi terkait tersebut akibat tidakjelasnya peran pengawasan eksternal;Deskripsi
Namun dalam kenyataannya mereka cenderung bekerja sendiri-sendiri;Deskripsi
Namun, hingga kini belum ada upaya tindak lanjut atas keluhan tersebut;Deskripsi
Instansi terkait tidak mempunyai kewajiban untuk menindaklanjuti aduan yang disampaikan LSM dan media lokal;Deskripsi
Walaupun demikian, sistem yang belum terkoordinir dengan baik ini sangat tidak menjamin penanganan pengaduan secara memadai;Deskripsi
Dinas pendidikan sebagai pimpinan satker cenderung mendominasi aktivitas pengelolaan Program BOS;Deskripsi
Indikasi ini dapat dilihat dari banyaknya anggota masyarakat dan guru yang mengadukan masalah pengelolaan dana BOS kepada LSM;Deskripsi
Selain kesulitan mengakses unit pengaduan formal, tingkat kepercayaan masyarakat terhadap unit internal cenderung minim;Deskripsi
Akibatnya, komite sekolah cuma menjadi stempel dari kepentingan pengelola sekolah;Deskripsi
UPTD, khususnya di daerah kabupaten berperan di hampir semua tahapan program;Deskripsi
Di beberapa daerah juga ditemukan adanya personel yang dinilai tidak kompeten;Deskripsi
Dominasi itu terasa hingga ke sekolah dan madrasah sebab dalam pelaksanaannya satker banyak memanfaatkan UPTD;Deskripsi
Bahkan, di beberapa sekolah swasta yang menjadi sampel kajian ini belum dibentuk komite sekolah;Deskripsi
Perkecualian peran dewan pendidikan ditemukan di Kabupaten Tapanuli Utara dan Kabupaten Minahasa Utara;Deskripsi
Semua kegiatan ini dibiayai dari dana operasional dewan pendidikan yang diperoleh dari Depdiknas;Deskripsi
Melalui mekanisme ini Pemerintah Pusat menyerahkan pelaksanaan program kepada pemerintah provinsi;Deskripsi
untuk meningkatkan koordinasi dan pertanggungjawaban di tingkat daerah;Deskripsi
Pengurus BP3 hanya terdiri dari orangtua siswa, sementara komite sekolah terdiri dari orangtua siswa dan masyarakat lainnya;Deskripsi
Oleh karenanya, pertanggungjawaban dalam bentuk laporan akhir hanya dibuat oleh satker provinsi dan Satker Pusat;Deskripsi
Hal semacam ini merupakan masalah yang biasa terjadi dengan program-program yang dilaksanakan melalui mekanisme dekonsentrasi;Deskripsi
Persepsi tersebut digali dalam berbagai diskusi kelompok terarah yang diselenggarakan di semua kabupaten/kota sampel;Deskripsi
Bagi sekolah yang jumlah siswanya banyak, nilai peningkatan penerimaan tersebut cukup signifikan;Deskripsi
Tingkat perubahan penerimaan sekolah setelah adanya BOS bervariasi antarsekolah;Deskripsi
Walaupun demikian, dari berbagai kenyataan yang ditemukan dalam kajian cepat ini dapat dikenali indikasi-indikasi dampak program;Deskripsi
Sementara itu penerimaan sebuah sekolah di Cilegon menurun sekitar 15%;Deskripsi
Peningkatan penerimaan bisa lebih besar karena belum tentu semua murid membayar iuran siswa pada periode-periode sebelumnya;Deskripsi
Upaya tersebut memang cukup menguntungkan bagi sekolah;Deskripsi
Dari setiap Rp1 juta sekolah bisa menyimpan Rp15.001;Deskripsi
Karena kekurangpahaman sekolah, pembayaran pajak yang dilakukan sekolah berbeda-beda;Deskripsi
Akibatnya, perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antar daerah;Deskripsi
Namun, tidak semua pelaksana BOS mengetahui tentang aturan ini karena tidak disosialisasikan dengan baik;Deskripsi
Hal ini terjadi karena hampir semua sekolah belum mengetahui aturan dan tata cara pembayaran pajak;Deskripsi
Laporan yang dibuat sekolah dikirim ke satker kabupaten/kota;Deskripsi
Di samping itu, sekolah juga dapat menghemat waktu, tenaga, dan biaya transportasi penyetoran pajak;Deskripsi
Hal-hal yang harus dilaporkan oleh pelaksana di tiap tingkatan adalah sebagai berikut;Deskripsi
Di samping itu, banyak juga sekolah yang berupaya menghindari pembayaran pajak dengan menyiasati nilai atau kuitansi pembayaran;Deskripsi
Akhirnya, satker provinsi menyampaikan laporan ke Satker Pusat;Deskripsi
Namun bentuk laporan yang diperoleh dari lembaga penyalur bervariasi antarprovinsi;Deskripsi
Laporan penanganan dan pengaduan masyarakat, serta laporan monitoring dan evaluasi akan didiskusikan di sub-bab 2.7;Deskripsi
Subbab ini hanya membahas laporan penggunaan/pemanfaatan dana BOS;Deskripsi
Selanjutnya, satker kabupaten/kota membuat laporan pelaksanaan program untuk diserahkan ke satker provinsi;Deskripsi
Berkaitan dengan laporan penggunaan dana BOS, sekolah menyerahkan laporan ke satker kabupaten/kota;Deskripsi
Satker kabupaten/kota seharusnya mengirimkan laporan-laporan ke satker provinsi;Deskripsi
Alur pelaporan di daerah-daerah sampel kajian ini agak bervariasi, dan secara umum disajikan di Gambar 2.5;Deskripsi
Selanjutnya satker provinsi menyusun laporan pelaksanaan program untuk dikirimkan ke Satker Pusat;Deskripsi
Di Provinsi Banten, selain UPTD, kantor pos kecamatan juga dapat berfungsi sebagai perantara penyampaian laporan tersebut;Deskripsi
Kanwil Depag juga menyusun laporan untuk diserahkan ke Departemen Agama, dan salinannya diserahkan ke satker provinsi;Deskripsi
Dengan adanya contohcontoh tersebut diharapkan sekolah tidak mengalami kesulitan dalam menyusun laporan;Deskripsi
Untuk mempermudah sekolah membuat laporan, di dalam juklak tersedia contoh-contoh format laporan;Deskripsi
Laporan tersebut harus dilengkapi RAPBS, fotokopi rekening, laporan buku kas, serta bukti-bukti pengeluaran yang sah;Deskripsi
Pembayaran tunjangan guru tetap diubah menjadi pembelian ATK;Deskripsi
Oleh karena itu, di Jawa Timur misalnya, laporan dalam bentuk SPJ harus dibuat setiap bulan;Deskripsi
Di Jawa Timur, NTB, dan Banten, satker provinsi menetapkan bahwa sekolah harus membuat laporan triwulanan;Deskripsi
Beberapa sekolah mengambil inisiatif meminta satker kabupaten/kota untuk mengadakan pelatihan pembuatan laporan;Deskripsi
Di daerah lain, satker kabupaten/kota menyatakan bahwa konsultasi dapat dilakukan kapan saja;Deskripsi
Kebijakan tentang waktu penyusunan laporan ini terkait dengan keterlambatan pengucuran dana di kedua provinsi tersebut;Deskripsi
Selain itu, satker kota setempat juga menyediakan waktu konsultasi bagi sekolah antara pukul 12.00-17.01;Deskripsi
Di Jawa Timur, Dinas Pendidikan Kota Pasuruan mengadakan pelatihan pembuatan SPJ yang dilaksanakan selama tiga hari;Deskripsi
Untuk melakukan konsultasi penyusunan laporan tersebut sekolah harus mengeluarkan biaya, paling tidak untuk transportasi;Deskripsi
Namun ada sekolah yang laporannya hanya dibuat oleh kepala sekolah tanpa melibatkan bendahara;Deskripsi
Di samping itu, sekolah juga mengeluhkan banyaknya waktu yang diperlukan untuk menyusun laporan tersebut;Deskripsi
Salah satu salafiyah di Banten, misalnya, memerlukan biaya transportasi antara Rp50.000-Rp100.000 setiap melakukan konsultasi;Deskripsi
Untuk itu, mereka seringkali kehilangan waktu istirahat karena harus kerja lembur atau terpaksa menggunakan waktu mengajar;Deskripsi
Komite sekolah yang seharusnya menjadi mitra sekolah pun umumnya tidak dilibatkan dalam pembuatan laporan,;Deskripsi
Hanya ada beberapa komite sekolah yang dapat mengakses laporan tersebut, namun jumlahnya sangat terbatas;Deskripsi
Mereka biasanya komite sekolah yang memang aktif berkunjung ke sekolah;Deskripsi
Bila ada guru yang dilibatkan, biasanya hanya guru yang bertugas menjadi bendahara BOS, sedangkan guru lainnya tidak dilibatkan;Deskripsi
Mereka cenderung percaya bahwa sekolah menggunakan dananya dengan benar;Deskripsi
Kepada orangtua siswa, umumnya pihak sekolah hanya menyampaikan informasi mengenai adanya Program BOS;Deskripsi
Masih jarang ditemui adanya sekolah yang melaporkan penggunaan dananya secara rinci kepada orangtua siswa;Deskripsi
Monev internal dilakukan oleh jajaran pelaksana program sendiri;Deskripsi
Orangtua siswa terkesan tidak peduli dengan urusan administrasi penggunaan dana;Deskripsi
Monitoring eksternal, dalam juklak program 2005, dianggap sebagai bagian dari pengawasan;Deskripsi
"dewan pendidikan, LSM, BMPS, maupun organisasi masyarakat/kependidikan lainnya; 4";Deskripsi
Tim SMERU hanya menemukan dua sekolah sampel yang menyampaikan laporan secara terbuka kepada orangtua siswa;Deskripsi
"perguruan tinggi, DPR, BIN atau tim independen khusus yang ditunjuk pemerintah; 3";Deskripsi
Monev internal ini bertugas melakukan pemantauan dan supervisi, pembinaan, dan penyelesaian masalah;Deskripsi
Belum semua daerah melaksanakan kegiatan monev internal secara khusus;Deskripsi
Unit-unit pengaduan masyarakat yang terdapat di sekolah/madrasah, kabupaten/kota, provinsi dan pusat;Deskripsi
Kualitas pelaksanaan monev internal masih dipertanyakan dan lebih terkesan dilaksanakan sebagai formalitas;Deskripsi
Monitoring dilakukan melalui UPTD dan melibatkan pengawas;Deskripsi
Di Kabupaten Tapanuli Utara, kuesioner disebarkan ke semua sekolah melalui UPTD Pendidikan;Deskripsi
Monev internal masih kurang memadai, sedangkan monev eksternal dinilai oleh banyak pihak masih kurang efektif;Deskripsi
Di Kota Pasuruan kegiatan monev agak lebih mendalam;Deskripsi
Meskipun di beberapa daerah kerja sama kegiatan monev antara staf dinas pendidikan dan Kandepag berjalan baik;Deskripsi
Karena berbagai faktor tersebut, secara umum kegiatan monev internal dianggap kurang memadai;Deskripsi
Cukup banyak lembaga yang secara langsung mendatangi sekolah-sekolah tanpa sepengetahuan satker, tidak jelas laporannya;Deskripsi
Hal ini melahirkan kecemburuan dan rumor tentang ketidaktransparanan jajaran Kandepag dalam pengelolaan dana monev;Deskripsi
Secara langsung BPKP melakukan audit dengan difasilitasi oleh satker provinsi, satker kabupaten/kota;Deskripsi
hasil pengawasannya juga tidak diberitahukan atau dilaporkan ke satker di tingkat manapun juga;Deskripsi
Isu ini umumnya bersumber dari masyarakat dan guru;Deskripsi
Hanya di Mapenda Kanwil Depag Provinsi Jawa Timur ada dokumen laporan pengaduan;Deskripsi
Secara umum, proses penyampaian dan penanganan pengaduan dapat dibedakan menjadi tiga kelompok, yaitu;Deskripsi
Di banyak sekolah juga tidak terlihat adanya kotak aduan;Deskripsi
Siapakah yang berwenang untuk melakukan investigasi bila pengaduan tersebut terkait dengan kinerja pelaksana program;Deskripsi
Namun berbagai fakta yang ditemukan di lapangan memperlihatkan kurang efisiennya sistem monitoring eksternal yang sudah berjalan;Deskripsi
Meski reaksinya cepat dan langsung, pengaduan dan proses penyelesaian semacam ini tidak didokumentasikan dengan baik;Deskripsi
